"","ery1","ery2","ery3","ebMac1","ebMac2","ebMac3","spMac1","spMac2"
"Fshb",0,0,0,0,0,0,0,0
"Fshr",0,0,0,0,0.296136212096276,0,0,0
"Fsip1",0,0,0,0,0.296136212096276,0.721788551682835,0,0
"Fst",0,0,0,2.03715617077509,3.25749833305904,0.721788551682835,0,14.4529346643512
"Fstl1",0,0,0,30.5573425616264,66.0383752974696,33.9240619290933,40.4556111892912,166.208748640039
"Fstl3",2.07209761356203,1.86624006358018,0,30.5573425616264,22.8024883314133,21.2927622746436,257.904521331731,93.9440753182826
"Fstl4",0,0,0,0.407431234155018,0.296136212096276,0,166.879396155826,296.285160619199
"Fstl5",0,0,0,0,0,0,0,0
"Ftcd",0,0,0,7.74119344894535,7.10726909031063,15.1575595853395,0,0
"Fth1",58221.798745866,64214.5212276986,62985.229599706,8372.71186188563,8733.05689471919,8773.33984570486,29431.4571402093,24952.9916980023
"Fthl17",0,0,0,0,0,0,0,0
"Ftl1",197336.21622758,200998.720447744,195715.61616966,7695.56115071999,8017.29567008249,8432.65564931056,34351.8708511069,50195.0420892916
"Ftmt",0,0,0,0,0,0,0,0
"Fto",70.4513188611091,106.37568362407,88.0478141274621,362.206367163811,379.942760119523,322.278588326386,278.132326926377,332.417497280077
"Ftsj1",243.471469593539,234.213127979313,218.990717188816,231.828372234205,220.029205587533,253.347781640675,161.822444757165,274.605758622672
"Ftsj2",11.3965368745912,20.528640699382,12.9814084931515,66.411291167268,55.0813354499074,64.9609696514552,70.7973195812596,209.567552633092
"Ftsj3",322.211178908896,328.458251190112,318.326712614671,1085.39680778897,1044.76855627566,1074.74315345574,394.442209095589,549.211517245345
"Ftsjd1",32.1175130102115,19.5955206675919,22.0119535318655,67.226153635578,63.9654218127957,64.9609696514552,25.284756993307,7.22646733217559
"Ftsjd2",2578.72548007795,2632.33160967984,2717.62964758801,674.298692526555,750.705297664061,880.9429273289,510.752091264801,541.985049913169
"Fubp1",1783.03999647013,1801.85478138666,1708.46623951172,1362.04261578023,1339.42408731146,1337.47418626829,485.467334271494,397.455703269657
"Fubp3",80.8118069289192,88.6464030200586,95.3851319714173,277.460670459567,254.084869978605,251.182415985627,20.2278055946456,14.4529346643512
"Fuca1",120.181661586598,105.44256359228,99.9004044907743,145.452950593342,163.171052865048,153.740961508444,996.219425536295,1040.61129583328
"Fuca2",916.903194001199,879.932189978055,847.742415509283,461.619588297636,401.264567390454,499.838572040363,510.752091264801,455.267441927062
"Fuk",58.0187331797369,55.0540818756153,54.1832702322844,75.7822095528334,76.4031427208393,74.344220823332,10.1139027973228,0
"Fundc1",40.4059034644596,44.7897615259243,40.6374526742133,84.3382654700888,99.7979034764451,105.742022821535,171.936347554487,166.208748640039
"Fundc2",1502.27076983247,1432.33924879779,1495.68402203702,288.461313781753,291.10189649064,357.285333083003,429.840868886219,317.964562615726
"Furin",3806.44331611345,3638.23500394956,3752.75587265061,172.343412047573,208.479893315779,154.823644335968,252.84756993307,231.246954629619
"Fus",1541.64062449015,1616.16389506044,1647.5100605004,2276.72573645824,2301.86677662436,2241.1534529752,930.479057353697,939.440753182826
"Fut1",0,0,0,0,0,0,0,0
"Fut10",2.07209761356203,1.86624006358018,0,32.5944987324015,38.2015713604196,40.0592646183974,0,0
"Fut11",56.9826843729559,55.0540818756153,41.2018617391329,103.487533475375,97.4288137796749,83.0056834435261,111.252930770551,101.170542650458
"Fut2",0,0,0,0,0,0,0,21.6794019965268
"Fut4",0,0,0,33.8167924348665,40.8667972692861,18.7665023437537,45.5125625879526,28.9058693287024
